artTitle,llm_class
電車電動車有沒有辦法開年呢,使用者體驗
電車電動車有沒有辦法開年呢,安全性能面
新聞媽送特斯拉萬現金慶生歲女,投訴方面
討論特斯拉車主的素質,使用者體驗
問題橫檳推薦嗎,使用者體驗
新聞特斯拉賣一輛車的獲利是豐田倍股價較年,產品性價格面
電車美國特斯拉售價大跳水囉,使用者體驗
情報月市佔率高達交付破,"
- 投訴方面：服務差、態度不好
- 物流方面：如電動車等貨待久、維修零件等待久
- 配套方面：如充電樁數量、維修站數量
- 產品性價格面：如便宜、划算、昂貴等
- 安全性能面：電動車過熱、火燒車、爆炸、暴衝、失控等
- 使用者體驗：品質公差、電池低溫耗電快等"
新聞超級盃期間放送特斯拉撞飛人偶的廣告,安全性能面
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,配套方面
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
新聞首度載人上公路亞馬遜無人小黃,使用者體驗
新聞年全球電動車電池裝機量將達,產品性價格面
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,投訴方面
討論沒有人創個車車有油加的群組嗎,投訴方面
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉超充還可以賺發票萬,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,使用者體驗
討論特斯拉車主充電討論,投訴方面
討論特斯拉車主充電討論,使用者體驗
新聞有沒有禮貌女控遭硬拔充電槍害車鎖,使用者體驗
問題免費充電樁收費管理不就好了,使用者體驗
問題免費充電樁收費管理不就好了,使用者體驗、安全性能面、產品性價格面、投訴方面
討論特斯拉車主充電討論,使用者體驗
新聞外媒曝特斯拉進行大改版售價,產品性價格面
新聞特斯拉召回美國逾萬輛車,安全性能面
新聞四百萬特斯拉騎上分隔島卡住駕駛醉,安全性能面
新聞曾被認為可挑戰特斯拉的改變戰略,產品性價格面
討論為什麼大家那麼討厭電動車,使用者體驗
新聞四百萬特斯拉騎上分隔島卡住駕駛醉,安全性能面
討論為什麼大家那麼討厭電動車,使用者體驗、投訴方面、產品性價格面、安全性能面
情報中國溫州特斯拉失控爆衝,安全性能面
新聞美消防車公路救災遭特斯拉直撞駕駛當場,安全性能面
新聞影出事了特斯拉硬切害隔壁轎車失控,安全性能面
電車平價電動車的盡頭是加油,產品性價格面和使用者體驗
新聞影出事了特斯拉硬切害隔壁轎車,使用者體驗
新聞電動車正進入快速成長期傳統車廠能否趕,使用者體驗
新聞影出事了特斯拉硬切害隔壁轎車失控,安全性能面
電車平價電動車的盡頭是加油,產品性價格面
分享英國特斯拉充電方式,使用者體驗
新聞等不及了休旅車沿路逼超車後撞特斯拉,安全性能面
心得特斯拉好在哪,使用者體驗
心得特斯拉好在哪,使用者體驗
新聞年度十大車款油電車占半,產品性價格面
新聞賓士宣布與合作強化導航系統,產品性價格面
電車有段時間前的消息關於,產品性價格面
電車有段時間前的消息關於,使用者體驗
新聞特斯拉自動駕駛電腦即將出爐,產品性價格面
新聞公布第一波年名單豐田佔多數,使用者體驗
新聞台幣萬的太陽能車竟是一場空德國新,使用者體驗
討論電動車小黃計程車,使用者體驗
心得特斯拉好在哪,使用者體驗
電車有段時間前的消息關於,使用者體驗
新聞你在大聲什麼啦陳平偉爆紅後大轉,投訴方面
問題風真的能大到把門吹凹,安全性能面
新聞發壞消息候車期長達年,產品性價格面
新聞在臺上市,使用者體驗
新聞特斯拉失控狂飆時速公里失事致死傷,安全性能面
討論特斯拉三部曲進入終章,使用者體驗
新聞特斯拉失控狂飆時速公里失事致,安全性能面
討論特斯拉祕密宏圖第三篇章,使用者體驗
討論特斯拉祕密宏圖第三篇章直播發表中,產品性價格面
新聞豐田工程師拆解特斯拉心得,使用者體驗
新聞特斯拉自動駕駛電腦即將出爐,安全性能面
新聞豐田工程師拆解特斯拉心得,使用者體驗
新聞台南賓士撞爛死慘況曝光,使用者體驗
新聞特斯拉失控狂飆時速公里失事致死傷,安全性能面
新聞梧棲童綜合周邊風勢強勁特斯拉車門被吹凹,投訴方面
新聞豐田工程師拆解特斯拉心得,使用者體驗
新聞梧棲童綜合周邊風勢強勁特斯拉車門被吹凹,使用者體驗
問題中古車乙式保險請益,使用者體驗
新聞梧棲童綜合周邊風勢強勁特斯拉車門被吹凹,使用者體驗
活動北部板友車聚,使用者體驗
新聞全球自動駕駛公司排名出爐連續,投訴方面
電車特斯拉的停車輔助要加回來,使用者體驗
新聞電動車多少續航里程才夠用研究顯示,使用者體驗
問題原地轉動方向盤車會容易壞嗎,使用者體驗
問題大家都怎麼讓跟車仔後退一點,使用者體驗
問題電動車不能比價,產品性價格面
新聞特斯拉的給世人帶來更多疑,投訴方面
新聞國內全車系售價調漲萬元,產品性價格面
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,投訴方面、產品性價格面、安全性能面、使用者體驗
討論一個曾在丹麥工作過的丹麥老外收藏影片,使用者體驗
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,使用者體驗
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,使用者體驗
討論中國雪鐵龍降價求生存,產業趨勢分析
新聞要長大了全新大,配套方面
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,產品性價格面
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,使用者體驗
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,使用者體驗
討論中國雪鐵龍降價求生存,使用者體驗、產品性價格面、安全性能面、投訴方面
新聞特斯拉電池故障求換新遭拒原廠鬼打牆,產品性價格面與使用者體驗
問題只剩特斯拉沒漲還降這樣不用查嗎,產品性價格面
新聞特斯拉方向盤可能脫落美展開調查,安全性能面
討論中國節目進行特斯拉國產電車對撞測試,安全性能面
市調汽車車主問卷座談會酬金元,使用者體驗
問題有人是電車跟油電車在考慮的嗎,使用者體驗
問題有人是電車跟油電車在考慮的嗎,使用者體驗、產品性價格面、安全性能面、輔助駕駛細膩度
心得台中老虎城賞心得,使用者體驗
討論中國車市最近的瘋狂砍價潮,產品性價格面
情報中國車市景氣差掀最慘烈價格戰新車只,投訴方面、物流方面、配套方面、產品性價格面、安全性能面、使用者體驗
新聞有錢人都開什麼車百萬富翁最愛,投訴方面
新聞你的特斯拉不是你的同色車併排他,使用者體驗
討論之前的愛車怎麼退流行的,使用者體驗
新聞公布最新款中型正面碰撞測試結果,安全性能面
新聞特斯拉新店追撞前車駕駛父暴走遷怒,投訴方面、使用者體驗
新聞美運輸部長特斯拉名不符實,投訴方面
新聞電子廠商爭先搶入電動車索尼鴻海,"使用者體驗
原因：文本提到小米電動車的定位是進入特斯拉小型電動車的價格的入門級車型，並擁有和蔚來和小鵬等性能和尺寸一致的高級轎車，這表明小米電動車的使用者體驗應與其他高級電動車相媲美。"
問題賣車利潤是不是超高,產品性價格面
新聞中國車市價格戰開打泉州不用萬台幣就,產品性價格面
分享,使用者體驗
新聞保時捷撞特斯拉賓士車慘遭撞上分隔島,安全性能面
討論一位旅居荷蘭的台灣人在荷蘭買豐田車,使用者體驗
討論廢物遠光燈仔,投訴方面
問題特斯拉原廠對付後方遠光燈的辦法,使用者體驗
討論廢物遠光燈仔,使用者體驗
新聞特斯拉自撞卡分隔島駕駛路況不熟釀禍,投訴方面
心得年式保時捷詳細開箱心得,"投訴方面
文本：特斯拉的新款電動車真是糟糕透頂，客服人員的態度非常差，根本不解決問題。"
市調汽車車主問卷座談會酬金元,使用者體驗
討論油車油電純電大家怎麼看,使用者體驗
問題特斯拉的中古車價怎樣呢,產品性價格面
問題特斯拉的中古車價怎樣呢,產品性價格面
心得特斯拉保養心得,使用者體驗
心得特斯拉入手花費及時間分享,使用者體驗
討論中國車市最近的瘋狂砍價潮,使用者體驗
問題特斯拉的中古車價怎樣呢,使用者體驗
心得特斯拉持有一年花費,產品性價格面
新聞選油車還是電車調查僅美國人想買電動車,交通運輸電動車
問題特斯拉的中古車價怎樣呢,使用者體驗
問題開年以上和特斯拉哪個較花錢,產品性價格面與使用者體驗。
討論特斯拉車主充電討論,使用者體驗
問題請問鈑金與烤漆價格,使用者體驗
情報特斯拉版出現視覺停車測距,使用者體驗
新聞特斯拉自撞卡分隔島駕駛路況不熟釀禍,安全性能面
新聞台中公有充電樁要收費了停天元,投訴方面
新聞高通期望在蘋果汽車尚未面市前以,產品性價格面
心得心得,使用者體驗、產品性價格面、安全性能面、投訴方面
心得三個月花費,使用者體驗
情報特斯拉版出現視覺停車測距,使用者體驗
新聞特斯拉車主創群組霸占專用車格影響,使用者體驗
討論一人給我一個入坑電車的理由,投訴方面
討論一人給我一個入坑電車的理由,使用者體驗
心得入手開箱分享圖多流水,使用者體驗
討論一人給我一個入坑電車的理由,使用者體驗、產品性價格面、配套方面、物流方面
市調汽車車主問卷座談會酬金元,投訴方面
新聞在中國賣得比美國便宜近一半逼其他車廠割喉降價重塑,產品性價格面、安全性能面、使用者體驗、投訴方面
情報特斯拉版出現視覺停車測距,使用者體驗
心得特斯拉遭遇工程蠍實測,使用者體驗
新聞從福特的計畫看傳統汽車廠從電動車獲利,產品性價格面
電車隔壁看到的為電池做隔音出事的事情,投訴方面
電車最便宜的千匹馬力市售車開賣,產品性價格面
電車回歸啦,產品性價格面
分享特斯拉對撞極狐,使用者體驗
電車回歸啦,產品性價格面
新聞全新車色烈焰紅初登場,使用者體驗
特斯拉跟歐洲電車比有什麼優勢嗎,使用者體驗
分享我與瑪莎拉蒂的短暫相處,使用者體驗
電車連假長程心得,使用者體驗
情報特斯拉版出現視覺停車測距,使用者體驗
心得貼隔熱紙當澳客經過,使用者體驗
心得車板首,產品性價格面
電車該換哪一台,使用者體驗
討論買電動車以後會後悔嗎,使用者體驗
電車特斯拉門鉸鏈強度夠嗎,使用者體驗
心得新手想進階中手的練車心得左右轉穩定度山路跟上車流,使用者體驗
電車隔壁看到的為電池做隔音出事的事情,使用者體驗
問題其實神是一台好車對嗎,使用者體驗
問題萬以內休旅車保值為前提,使用者體驗
問題,使用者體驗
討論台灣如果沒有裕隆會怎樣,使用者體驗
情報年月份臺灣汽車市場銷售報告,使用者體驗
討論花兩三百萬買到處車聚的車心態,產品性價格面
情報年月份台灣電動車市場銷售排名,使用者體驗
心得和特斯拉都有的成功關鍵,使用者體驗
下麗寶可以多快,使用者體驗
情報特斯拉美國官網全車系調降,投訴方面
新聞路透特斯拉車載鏡頭拍攝影片外流成,投訴方面、物流方面、配套方面、產品性價格面、安全性能面、使用者體驗
的,使用者體驗
討論美國車內裝是不是普遍不太行,使用者體驗
新聞被控涉侵犯用戶隱私特斯拉遭集體訴訟,投訴方面
問題出遊取向或,使用者體驗
討論豐田最頂規萬,產品性價格面
問題擦撞特斯拉請幫忙估價,使用者體驗
問題擦撞特斯拉請幫忙估價,使用者體驗
新聞特斯拉國道奔馳正副駕駛竟沉睡網友留,安全性能面
新聞特斯拉自撞分隔島起火車頭全毀駕駛重傷,安全性能面
問題為什麼特斯拉造肇事率這麼高,使用者體驗
問題擦撞特斯拉請幫忙估價,投訴方面
新聞快訊新店特斯拉撞分隔島起火名設計師送醫,安全性能面
問題擦撞特斯拉請幫忙估價,使用者體驗
問題為什麼特斯拉造肇事率這麼高,安全性能面
心得特斯拉一年心得,使用者體驗
問題擦撞特斯拉請幫忙估價,投訴方面
問題自駕車到底能不能辨識靜止的物體,使用者體驗
問題擦撞特斯拉請幫忙估價,使用者體驗
新聞特斯拉的生產創新讓豐田領悟到必須為電,產品性價格面
問題擦撞特斯拉請幫忙估價,使用者體驗
新聞快訊新店特斯拉撞分隔島起火名設計師送醫,安全性能面
問題為什麼特斯拉造肇事率這麼高,安全性能面
新聞快訊新店特斯拉撞分隔島起火名設計師送醫,安全性能面
問題為什麼特斯拉造肇事率這麼高,投訴方面、使用者體驗
問題為什麼特斯拉造肇事率這麼高,使用者體驗
問題為什麼特斯拉造肇事率這麼高,使用者體驗
問題為什麼特斯拉造肇事率這麼高,使用者體驗
討論福特是不是比較不合台灣人胃口,使用者體驗
問題為什麼特斯拉造肇事率這麼高,使用者體驗
新聞前員工爆料特斯拉車載鏡頭影片大量外,投訴方面
問題為什麼特斯拉造肇事率這麼高,安全性能面
新聞特斯拉投資的鎳礦開採計畫讓森林裡的原,使用者體驗
問題為什麼特斯拉造肇事率這麼高,使用者體驗
新聞新社長上任宣誓加速電動化年,產品性價格面
新聞電動小跑車動力有點搞,使用者體驗、產品性價格面、安全性能面
討論現在買的會很盤嗎,產品性價格面
討論會因為美國車價不同影響要買哪台車嗎,產品性價格面
心得萬公里心得,使用者體驗
問卦又圖利財團充電樁強制裝螢幕的低能政策,使用者體驗
問題擦撞特斯拉請幫忙估價,使用者體驗
新聞打敗眾多對手成為挪威第二,產品性價格面
心得心得,使用者體驗
討論挪吒要被遺棄了嗎,安全性能面
問題為何當初不把獨立出來就好,使用者體驗
新聞全球新車供不應求局勢即將反轉金融集團預估今年新車會降,產品性價格面
分享一年持有成本微心得分享,使用者體驗
心得萬公里心得,使用者體驗
討論特斯拉官網開始降價了,產品性價格面
心得特斯拉一直降價車主好開心,使用者體驗
情報特斯拉美國官網調降,產品性價格面
情報特斯拉美國官網調降,產品性價格面
討論電動車會不會跟小車一樣只是一時流行,使用者體驗
情報售價萬元起最高公里,產品性價格面
討論一位旅居荷蘭的台灣人在荷蘭買豐田車,使用者體驗
討論台灣特斯拉開放的時程感覺快了,使用者體驗
新聞特斯拉烈焰紅台灣亮相即將交,使用者體驗
新聞車市買氣爆棚台北港塞滿進口車估全台汽車銷量年增,經濟和政策面
討論油電這樣是正常的嗎,使用者體驗、產品性價格面、安全性能面
新聞數度食言馬斯克再誇口特斯拉很可能今,使用者體驗
心得開了特斯拉讓人更能安全駕駛,使用者體驗
新聞特斯拉全面勝訴最終裁定不是事,安全性能面
問題是否該換車了,使用者體驗
討論年後該不會只剩電動車可以買吧,使用者體驗
新聞受制裁僅剩中國車可買俄羅斯民眾寧可選二手車,使用者體驗
心得的名號被特斯拉奪走了,使用者體驗
討論現車值得買嗎,使用者體驗
新聞馬斯克揚言零利潤賣特斯拉電動車,產品性價格面
電車電驅新聞特斯拉影響力報告,產品性價格面
新聞產能不足是否拖垮服務話題車商面臨,使用者體驗
討論特斯拉太重是否不適合台灣,使用者體驗
新聞獨油電車被放三角錐車主要告引網路,使用者體驗
問題底盤很好是甚麼感覺,使用者體驗
心得跑車模式才是特斯拉精髓,使用者體驗
新聞竹北天坑吃特斯拉投保車體險乙式,投訴方面
情報國三撞防撞車,使用者體驗
轉錄晶片製造比汽車難台灣卻很強,使用者體驗
新聞上海車展中國電動車企人氣最旺但前,使用者體驗
新聞快訊竹北大遠百商圈驚見天坑特斯拉,新聞報導
電車特斯拉一日高雄台北來回電耗測試,使用者體驗
新聞萬天坑特斯拉報廢建商只丟句話,投訴方面、產品性價格面、安全性能面、使用者體驗
新聞萬天坑特斯拉報廢建商只丟句話,投訴方面
情報特斯拉庫存量創新高可能又要降價了,產品性價格面
討論特斯拉降價品牌往平價靠攏是好事啦,產品性價格面
新聞萬天坑特斯拉報廢建商只丟句話,使用者體驗
新聞扯高雄特斯拉硬切插隊被叭駕駛下車斥,投訴方面
討論特斯拉降價品牌往平價靠攏是好事啦,產品性價格面
新聞扯高雄特斯拉硬切插隊被叭駕駛下車斥,使用者體驗
情報年月份臺灣汽車市場銷售報告,產品性價格面
新聞男子持秒膠隨機亂黏門打不開特,投訴方面
心得特斯拉拖車勾安裝申請流程,產品性價格面
問題為什麼有些車子有鞭炮聲,安全性能面
新聞特斯拉的一系列降價戰略帶給電動車更多,產品性價格面
討論的是不是被低估了,使用者體驗
電車福特賣一台虧一台,產品性價格面
新聞特斯拉一體化壓鑄技術雖然省了成本降低,產品性價格面
電車特斯拉原廠中古車,產品性價格面
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限期,投訴方面、產品性價格面、安全性能面、使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
電車特斯拉原廠中古車,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,沒有包含有關賠償公司或原因的資訊，因此無法進行分類。
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
新聞萬特斯拉掉天坑租來的建商保險都不賠車商限,使用者體驗
問題特斯拉尾巴一撞到得賠萬,安全性能面
新聞免費超級充電限時回歸年不限里,產品性價格面
電車推出官方賽道套件,產品性價格面
新聞獨家特斯拉掉坑乙式車險不賠保險局與車主澄清,投訴方面
新聞獨家特斯拉掉坑乙式車險不賠保險局與車主澄清,安全性能面
情報特斯拉車主在超充站發生爭吵後槍擊,投訴方面
新聞快訊台中台死亡車禍特斯拉自撞,安全性能面
新聞快訊台特斯拉恐怖自撞釀死酒測結,安全性能面
新聞快訊台特斯拉恐怖自撞釀死酒測結,安全性能面
新聞快訊台特斯拉恐怖自撞釀死酒測結,安全性能面
新聞快訊台特斯拉恐怖自撞釀死酒測結,使用者體驗
新聞快訊台特斯拉恐怖自撞釀死酒測結,使用者體驗
討論的為什麼都沒有人酸,使用者體驗
新聞快訊台特斯拉恐怖自撞釀死酒測結,安全性能面
新聞快訊台特斯拉恐怖自撞釀死酒測結,安全性能面
問題為何沒有說特斯拉很鋁,使用者體驗
討論消防栓充電新解,使用者體驗
情報特斯拉行動充電用發電機,使用者體驗
討論大家怎麼看特斯拉的行動電源恰吉先生,使用者體驗
新聞香港採購比亞迪刀片電池率,產品性價格面
新聞全球新車銷售名單出爐穩坐冠軍寶座來勢,產品性價格面
討論幾歲買車可以自己決定嗎,使用者體驗
新聞保時捷找上特斯拉前隊友終於要認真打造,人工智慧交通運輸汽車科技
新聞全新入門純電休旅六月發表台,使用者體驗
問題強制險最高萬是否不夠了,使用者體驗
問題這台拖吊的特斯拉,安全性能面
新聞賓士執行長就算中國武力攻台賓士也不,使用者體驗
問題非原廠外放電裝置,使用者體驗
新聞特斯拉車款遭拒保國泰產險開第一槍,安全性能面
新聞國道自動駕駛還講電話追尾緩撞車,使用者體驗
新聞特斯拉車款遭拒保國泰產險開第一槍,使用者體驗
新聞特斯拉車款遭拒保國泰產險開第一槍,使用者體驗
問題強制險最高萬是否不夠了,安全性能面
新聞國一車連環撞人受傷特斯拉慘遭波及,安全性能面
新聞特斯拉於中國召回萬輛約年售出總數,安全性能面
新聞國道工程車與緩撞車遭撞多因用路人啟動,安全性能面
新聞特斯拉於中國召回萬輛約年售出總數,使用者體驗
轉錄台灣為什麼打造不出來汽車品牌,使用者體驗
新聞特斯拉停充電格不充男怒上,配套方面
新聞特斯拉停充電格不充男怒上,使用者體驗
情報老爹已售完明年請早,使用者體驗
討論里程表也有快樂表嗎,使用者體驗
討論撞到賓利真的要賠很多嗎,使用者體驗
新聞中國首季汽車出口超過日本成全球第一,使用者體驗
新聞中國首季汽車出口超過日本成全球第一,投訴方面
